ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,AES
Arapaho,Arapaho,,43.39,-108.81,arap1274,,moribund
Bardi,Bardi,,-16.63,122.54,bard1255,,nearly_extinct
Baure,Baure,,-13.61,-63.68,baur1253,,nearly_extinct
Carijona,Carijona,,1.22,-72.07,cari1279,,nearly_extinct
CentralOkinawa,Central Okinawa,,26.15,127.78,cent2126,,moribund
Chontal,Chontal,,15.95,-95.69,lowl1260,,moribund
Comanche,Comanche,,34,101,coma1245,,moribund
Creek,Creek,,31,-87.5,cree1270,,moribund
Domari,Domari,,32,35,doma1258,,moribund
Even,Even,,70.67,130.91,even1260,,moribund
ForestEnets,Forest Enets,,69.98,88.21,fore1265,,moribund
Garrwa,Garrwa,,-17.45,137.72,gara1269,,moribund
GuuguYimidhirr,Guugu Yimidhirr,,-14.94,144.83,gugu1255,,moribund
Hawaiian,Hawaiian,,19.63,-155.43,hawa1245,,moribund
HokkaidoAinu,Hokkaido Ainu,,43.63,142.46,ainu1240,,nearly_extinct
Isinai,Isinai,,16.33,121.12,isin1239,,nearly_extinct
Jaru,Jaru,,-18.33,128.26,jaru1254,,moribund
Kalispel,Kalispel,,47.58,-114.19,kali1308,,moribund
Kanakanavu,Kanakanavu,,23.32,120.89,kana1286,,nearly_extinct
Karok,Karok,,41.82,-123.31,karo1304,,nearly_extinct
Kokama,Kokama,,-4.5,-74,coca1259,,nearly_extinct
KomiZyrian,Komi-Zyrian,,64.05,54.95,komi1268,,not_endangered
Korana,Korana,,-30.42,19.77,kora1292,,extinct
Lepcha,Lepcha,,27.09,88.57,lepc1244,,moribund
Lokono,Lokono,,5.64,-56.92,araw1276,,moribund
Ngalkbun,Ngalkbun,,-13.98,133.94,ngal1292,,nearly_extinct
Nganasan,Nganasan,,73.14,86.21,ngan1291,,moribund
Ngarinyin,Ngarinyin,,-16.4,126.43,ngar1284,,nearly_extinct
Nimboran,Nimboran,,-2.58,140.18,nucl1633,,moribund
NIIng,N||ng,,-29.71,19.08,nngg1234,,nearly_extinct
NorthwestSahaptin,Northwest Sahaptin,,46.27,-120.76,yaki1237,,nearly_extinct
Nyangi,Nyang'i,,3.5,33.74,nyan1313,,nearly_extinct
Ofaye,Ofaye,,-22.28,-53.72,ofay1240,,moribund
Onondaga,Onondaga,,42.92,-76.12,onon1246,,nearly_extinct
PacificGulfYupik,Pacific Gulf Yupik,,60.42,-148.04,paci1278,,moribund
Pawnee,Pawnee,,36.29,-96.89,pawn1254,,nearly_extinct
Rembarrnga,Rembarrnga,,-12.96,134.31,remb1249,,moribund
Saaroa,Saaroa,,23.26,120.71,saar1237,,nearly_extinct
Seneca,Seneca,,42.56,-77.53,sene1264,,nearly_extinct
Siriono,Sirionó,,-15.53,-63.97,siri1273,,nearly_extinct
Soo,Soo,,2.58,34.76,sooo1256,,moribund
SouthWa,South Wa,,22.87,99.38,para1301,,not_endangered
SouthernCoastalTsimshian,Southern Coastal Tsimshian,,52.59,-128.54,nucl1649,,nearly_extinct
SouthernYukaghir,Southern Yukaghir,,64.22,154.38,sout2750,,nearly_extinct
Tarifiyt,Tarifiyt,,34.92,-3.43,tari1263,,moribund
ThadoChin,Thado Chin,,24.1,93.72,thad1238,,moribund
Tlingit,Tlingit,,59.44,-135.29,tlin1245,,nearly_extinct
Uighur,Uighur,,43.88,87.38,uigh1240,,not_endangered
Unserdeutsch,Unserdeutsch,,-4.2,152.18,unse1236,,moribund
Washo,Washo,,38.82,-119.64,wash1253,,moribund
Yami,Yami,,22.05,121.54,yami1254,,moribund
YuwaalaraayGamilaraay,Yuwaalaraay Gamilaraay,,-29.76,147.92,gami1243,,nearly_extinct
