ID,Name,Glottocode,Family,Latitude,Longitude,aes
Arapaho,Arapaho,arap1274,Algic,43.39, -108.81,moribund
Bardi,Bardi,bard1255,Nyulnyulan, -16.63,122.54,nearly_extinct
Baure,Baure,baur1253,Arawakan, -13.61, -63.68,nearly_extinct
Carijona,Carijona,cari1279,Cariban,1.22, -72.07,nearly_extinct
Central Okinawa,Central Okinawa,cent2126,Japonic,26.15,127.78,moribund
Chontal,Chontal,lowl1260,Tequistlatecan,15.95, -95.69,moribund
Comanche,Comanche,coma1245,Uto-Aztecan,34.00,101.00,moribund
Creek,Creek,cree1270,Muskogean,31.00, -87.50,moribund
Domari,Domari,doma1258,Indo-Iranian,32.00,35.00,moribund
Even,Even,even1260,Tungusic,70.67,130.91,moribund
Forest Enets,Forest Enets,fore1265,Uralic,69.98,88.21,moribund
Garrwa,Garrwa,gara1269,Garrwan, -17.45,137.72,moribund
Guugu Yimidhirr,Guugu Yimidhirr,gugu1255,Pama-Nyungan, -14.94,144.83,moribund
Hawaiian,Hawaiian,hawa1245,Austronesian,19.63, -155.43,moribund
Hokkaido Ainu,Hokkaido Ainu,ainu1240,Ainu,43.63,142.46,nearly_extinct
Isinai,Isinai,isin1239,Austronesian,16.33,121.12,nearly_extinct
Jaru,Jaru,jaru1254,Pama-Nyungan, -18.33,128.26,moribund
Kalispel,Kalispel,kali1309,Salishan,          --,          --   ,
Kanakanavu,Kanakanavu,kana1286,Austronesian,23.32,120.89,nearly_extinct
Karok,Karok,karo1304,Isolated,41.82, -123.31,nearly_extinct
Kokama,Kokama,omag1247,Tupian, -4.50, -74.00,
Komi-Zyrian,Komi-Zyrian,komi1267,Uralic,64.05,54.95,
Korana,Korana,kora1292,Khow-Kwadi, -30.42,19.77,extinct
Lepcha,Lepcha,lepc1244,Sino-Tibetan,27.09,88.57,moribund
Lokono,Lokono,araw1276,Arawakan,5.64, -56.92,moribund
Ngalkbun,Ngalkbun,ngal1292,Gunwinyguan, -13.98,133.94,nearly_extinct
Nganasan,Nganasan,ngan1291,Uralic,73.14,86.21,moribund
Ngarinyin,Ngarinyin,ngar1284,Worrorran, -16.40,126.43,nearly_extinct
Nimboran,Nimboran,nucl1633,Nimboranic, -2.58,140.18,moribund
Nllng,Nllng,nngg1234,Tuu,          --,          -- ,
Northwest_Sahaptin,Northwest_Sahaptin,yaki1237,Sahaptian,46.27, -120.76,nearly_extinct
Nyang'i,Nyang'i,nyan1313,Kuliak,3.50,33.74,nearly_extinct
Ofaye,Ofaye,ofay1240,Nuclear-Macro-Je, -22.28, -53.72,moribund
Onondaga,Onondaga,onon1246,Iroquian,42.92, -76.12,nearly_extinct
Pacific Gulf Yupik,Pacific Gulf Yupik,paci1278,Eskimo-Aleut,60.42, -148.04,moribund
Pawnee,Pawnee,pawn1254,Caddoan,36.29, -96.89,nearly_extinct
Rembarrnga,Rembarrnga,remb1249,Gunwinyguan, -12.96,134.31,moribund
Saaroa,Saaroa,saar1237,Austronesian,23.26,120.71,nearly_extinct
Seneca,Seneca,sene1264,Iroquian,42.56, -77.53,nearly_extinct
Siriono,Siriono,siri1273,Tupian, -15.53, -63.97,nearly_extinct
Soo,Soo,sooo1256,Kuliak,2.58,34.76,moribund
South_Wa,South_Wa,para1301,Austroasiatic,22.87,99.38,not_endangered
Southern Coastal Tsimshian,Southern Coastal Tsimshian,nucl1249,Tsimshian,52.59, -128.54,
Southern Yukaghir,Southern Yukaghir,sout2750,Yukaghir,64.22,154.38,nearly_extinct
Tarifiyt,Tarifiyt,tari1263,Afro-Asiatic,34.92, -3.43,moribund
Thado_Chin,Thado_Chin,thad1238,Sino-Tibetan,24.10,93.72,moribund
Tlingit,Tlingit,tlin1245,Athabaskan-Eyak-Tlingit,59.44, -135.29,nearly_extinct
Uighur,Uighur,uigh1240,Turkic,43.88,87.38,not_endangered
Washo,Washo,wash1253,Isolated,38.82, -119.64,moribund
Yami,Yami,yami1254,Austronesian,22.05,121.54,moribund
Yuwaalaraay Gamilaraay,Yuwaalaraay Gamilaraay,yuwa1242,Pama-Nyungan, -29.76,147.92,
