ID,Name,Source_1,Source_2
Arapaho,Arapaho,arapaho1963,arapaho2008
Bardi,Bardi,bardi1975,bardi2012
Baure,Baure,baure1880,baure2007
Carijona,Carijona,carijona1908,carijona2000
CentralOkinawa,Central Okinawa,okinawa1963,okinawa2015
Chontal,Chontal,chontal1967,chontal2004
Comanche,Comanche,comanche1865,comanche1993
Creek,Creek,creek1977,creek2004
Domari,Domari,domari1914,domari2012
Even,Even,even1955,even2011
ForestEnets,Forest Enets,forestenets1854,forestenets2013
Garrwa,Garrwa,garrwa1977,garrwa2012
GuuguYimidhirr,Guugu Yimidhirr,yimidhirr1901,yimidhirr1979
Hawaiian,Hawaiian,hawaiian1854,hawaiian1979
HokkaidoAinu,Hokkaido Ainu,hokkaidoainu1979,hokkaidoainu2012
Isinai,Isinai,isinai1918,isinai2015
Jaru,Jaru,jaru1981,jaru2015
Kalispel,Kalispel,kalispel1940,kalispel1977
Kanakanavu,Kanakanavu,kanakanavu1975,kanakanavu2018
Karok,Karok,karok1957,karok1997
Kokama,Kokama,kokama1972,kokama2016
KomiZyrian,Komi-Zyrian,komizyrian1841,komizyrian1998
Korana,Korana,korana1879,korana1930
Lepcha,Lepcha,lepcha1876,lepcha2003
Lokono,Lokono,lokono1882,lokono2011
Ngalkbun,Ngalkbun,ngalkbun1962,ngalkbun2011
Nganasan,Nganasan,nganasan1854,nganasan2018
Ngarinyin,Ngarinyin,ngarinyin1970,ngarinyin2015
Nimboran,Nimboran,nimboran1965,nimboran1997
NIIng,N||ng,nllng1937,nllng2011
NorthwestSahaptin,Northwest Sahaptin,sahaptin1931,sahaptin2010
Nyangi,Nyang'i,nyangi1975,nyangi2017
Ofaye,Ofaye,ofaye1971,ofaye2006
Onondaga,Onondaga,onondaga1888,onodaga1970
PacificGulfYupik,Pacific Gulf Yupik,yupik1901,yupik1990
Pawnee,Pawnee,pawnee1976,pawnee2011
Rembarrnga,Rembarrnga,rembarrnga1975,rembarrnga2000
Saaroa,Saaroa,saaroa1975,saaroa2012
Seneca,Seneca,seneca1954,seneca2015
Siriono,Sirionó,siriono1949,siriono2014
Soo,Soo,soo1971,soo2009
SouthWa,South Wa,wa1907,wa2012
SouthernCoastalTsimshian,Southern Coastal Tsimshian,tsimshian1911,tsimshian1979
SouthernYukaghir,Southern Yukaghir,yukaghir1905,yukaghir1999
Tarifiyt,Tarifiyt,tarifiyt1905,tarifiyt1996
ThadoChin,Thado Chin,chin1980,chin2014
Tlingit,Tlingit,tlingit1917,tlingit1979
Uighur,Uighur,uighur1971,uighur2005
Unserdeutsch,Unserdeutsch,unserdeutsch1983,unserdeutsch2017
Washo,Washo,washo1907,washo1964
Yami,Yami,yami1936,yami2006
YuwaalaraayGamilaraay,Yuwaalaraay Gamilaraay,yuwaalaraaygamilaraay1980,yuwaalaraaygamilaraay2014
