,Parameter,Value,count
0,AdjN,Adj N,36
1,AdjN,N Adj,28
2,AdjN,both,13
3,BasicWO,OVS,1
4,BasicWO,SOV,33
5,BasicWO,SVO,11
6,BasicWO,VSO,18
7,BasicWO,no basic word order,26
8,CA_case,0,28
9,CA_case,1,50
10,CA_head,0,18
11,CA_head,1,61
12,CA_wordorder,0,42
13,CA_wordorder,1,45
14,Cases,0,24
15,Cases,1,4
16,Cases,10,6
17,Cases,11,1
18,Cases,12,1
19,Cases,13,3
20,Cases,14,1
21,Cases,15,1
22,Cases,16,1
23,Cases,17,1
24,Cases,2,8
25,Cases,3,9
26,Cases,4,5
27,Cases,5,3
28,Cases,6,7
29,Cases,7,12
30,Cases,8,4
31,Cases,9,3
32,ClassGen,0,99
33,ClassGen,1,4
34,ClassNoun,0,53
35,ClassNoun,1,50
36,ClassNum,0,65
37,ClassNum,1,38
38,Consonants,10,1
39,Consonants,11,2
40,Consonants,12,7
41,Consonants,13,5
42,Consonants,14,6
43,Consonants,15,4
44,Consonants,16,5
45,Consonants,17,9
46,Consonants,18,5
47,Consonants,19,5
48,Consonants,20,6
49,Consonants,21,2
50,Consonants,22,6
51,Consonants,23,3
52,Consonants,24,6
53,Consonants,26,2
54,Consonants,27,1
55,Consonants,28,1
56,Consonants,29,1
57,Consonants,31,1
58,Consonants,32,2
59,Consonants,33,2
60,Consonants,34,1
61,Consonants,35,3
62,Consonants,41,1
63,Consonants,42,2
64,Consonants,7,1
65,Consonants,71,1
66,Consonants,8,2
67,Consonants,9,1
68,Dem,0,2
69,Dem,1,1
70,Dem,10,1
71,Dem,11,2
72,Dem,13,2
73,Dem,14,1
74,Dem,15,5
75,Dem,16,1
76,Dem,17,1
77,Dem,19,1
78,Dem,2,20
79,Dem,22,2
80,Dem,23,1
81,Dem,3,20
82,Dem,30,1
83,Dem,4,3
84,Dem,5,6
85,Dem,6,7
86,Dem,7,9
87,Dem,8,3
88,Dem,9,1
89,DitransMarking,0,18
90,DitransMarking,1,36
91,Evid,0,44
92,Evid,1,10
93,Evid,10,1
94,Evid,2,6
95,Evid,3,1
96,Evid,4,5
97,Evid,5,2
98,Evid,8,1
99,GenN,Gen N,47
100,GenN,N Gen,24
101,GenN,both,5
102,InstrCom,0,35
103,InstrCom,1,37
104,LocDir,0,13
105,LocDir,1,56
106,MorphCaus,0,18
107,MorphCaus,1,63
108,MorphCaus,3,1
109,NP_Agr,0,45
110,NP_Agr,1,30
111,NasVowels,0,86
112,NasVowels,10,1
113,NasVowels,2,2
114,NasVowels,3,1
115,NasVowels,4,2
116,NasVowels,5,3
117,NasVowels,6,1
118,NomAlign,active-inactive,3
119,NomAlign,ergative-absolutive,23
120,NomAlign,hierarchic,1
121,NomAlign,neuter,25
122,NomAlign,nominative-accusative,30
123,NomAlign,tripartite,2
124,Poss,0,21
125,Poss,1,23
126,Pron1P,1,3
127,Pron1P,11,1
128,Pron1P,13,1
129,Pron1P,15,1
130,Pron1P,2,25
131,Pron1P,3,27
132,Pron1P,4,11
133,Pron1P,5,13
134,Pron1P,6,10
135,Pron1P,7,5
136,Pron1P,8,2
137,Pron2P,1,6
138,Pron2P,10,1
139,Pron2P,14,1
140,Pron2P,2,38
141,Pron2P,3,26
142,Pron2P,4,17
143,Pron2P,5,3
144,Pron2P,6,4
145,Pron2P,7,2
146,Pron2P,8,1
147,Pron3P,0,4
148,Pron3P,1,7
149,Pron3P,10,2
150,Pron3P,12,1
151,Pron3P,16,1
152,Pron3P,2,35
153,Pron3P,25,1
154,Pron3P,28,1
155,Pron3P,3,26
156,Pron3P,4,8
157,Pron3P,5,4
158,Pron3P,6,5
159,Pron3P,7,2
160,Pron3P,8,1
161,Pron3P,9,1
162,PronAlign,0,1
163,PronAlign,active-inactive,3
164,PronAlign,ergative-absolutive,12
165,PronAlign,neuter,27
166,PronAlign,nominative-accusative,32
167,Questions,0,19
168,Questions,1,35
169,Questions,morphology,17
170,Questions,morphology y prosody,2
171,Questions,prosody,7
172,TA_marks,0,4
173,TA_marks,1,1
174,TA_marks,11,2
175,TA_marks,12,2
176,TA_marks,13,5
177,TA_marks,14,2
178,TA_marks,18,1
179,TA_marks,19,2
180,TA_marks,2,6
181,TA_marks,28,1
182,TA_marks,3,13
183,TA_marks,4,18
184,TA_marks,5,14
185,TA_marks,6,9
186,TA_marks,7,8
187,TA_marks,8,4
188,TA_marks,9,5
189,TempLoc,0,30
190,TempLoc,1,20
191,Tones,0,80
192,Tones,1,1
193,Tones,2,3
194,Tones,3,4
195,Tones,4,3
196,Tones,5,3
197,VP_Agr,0,33
198,VP_Agr,1,69
199,Vowels,10,4
200,Vowels,12,3
201,Vowels,13,3
202,Vowels,14,2
203,Vowels,15,1
204,Vowels,16,1
205,Vowels,20,1
206,Vowels,22,1
207,Vowels,24,1
208,Vowels,3,2
209,Vowels,4,12
210,Vowels,5,19
211,Vowels,6,23
212,Vowels,7,8
213,Vowels,8,11
214,Vowels,9,2
